start	end	text
0	5000	I've been thinking of this about, first of all, the people that don't come forward, what kind of information they'd like to know.
5000	14000	Yeah, so that person that you're thinking of, you know, downloads this app or kind of gets it on their phone somehow,
14000	18000	what would the kind of question or how do you think they'd find out?
18000	22000	Well, the first question that they would be asking is, what's out there, first of all?
22000	28000	What's available for me if I was to leave home right now? Where can I go? Is there any place I can go?
28000	33000	Then the second question would be, do the guards have to be notified if I go to that refuge?
33000	37000	Do tusla need to be, you know, if I go to that refuge?
37000	42000	These are all the kind of things that are going on and that's an awful lot that prevents people from coming forward.
42000	51000	So then, behind it, that's what they think of the children. What's available for the children out there if I don't want to come forward?
51000	54000	Do the schools have to be notified?
54000	60000	All these things kind of keep coming, rambling around in their heads and that's what prevents them coming forward.
60000	65000	If they had access to the information, as you say, not going through all these websites,
65000	69000	you could put in what's available to me and something comes up into prayer, something comes up in Dublin.
69000	72000	They're no good to anyone. They're no good to anyone.
72000	77000	So having something like this is great but the kind of questions that they might be asking is,
78000	82000	if I'm thinking now from a man's point of view, what's available?
82000	86000	It's a lot of what's available to me. That's a lot of the stuff.
86000	90000	What's available to me, how, what, when, where, why?
90000	96000	So how do I go about getting support? Do I need support? Why do I need this support?
96000	101000	What's available for me? What's available for him? What's available for the kids?
101000	104000	It's all about the what is before they go forward.
104000	108000	So what, how do I, how do I…
108000	110000	How do I access support?
110000	112000	How do I access support? Would that be…
112000	114000	That would be how do I access support?
114000	115000	Okay.
115000	117000	And I'm living in wherever.
117000	118000	Okay.
118000	120000	What supports are available to me in?
120000	121000	Yeah.
121000	124000	Now I don't know how specific you can get in relation to that.
124000	132000	Yeah, well that's the task is to try and refine it as much as possible so that we do get accurate information.
132000	135000	So how do I access support? What supports are out there?
135000	136000	Yeah.
136000	142000	For me, my husband, who's a perpetrator of domestic violence, and then the children.
142000	143000	Yeah.
143000	144000	That's a huge one.
144000	145000	Yeah.
145000	149000	And then basically what other services need to be involved?
149000	150000	Yeah.
150000	152000	So do they call the cards? Do all that kind of stuff?
152000	153000	Yeah.
153000	157000	That's the kind of, that's what I'd know for that information to be about that.
158000	165000	When you go in deep within, when you're talking about housing, social welfare, the finance side of things.
165000	166000	Yeah.
166000	173000	Like, what do I get on social welfare? I'm a single mother living with three children now.
173000	177000	He was a sole earner. As a result, I've no income.
177000	178000	Yeah.
178000	180000	If I leave him, what income would I have?
180000	181000	Yeah.
181000	185000	So that could be links to say social welfare all over the areas. There would be a tie to certain things.
185000	186000	Yeah.
186000	191000	They're also entitled to emergency deposits for apartments as well now, which is a great thing.
191000	192000	Okay.
192000	193000	Yeah. Which is huge.
193000	194000	Yeah.
194000	205000	Yeah. And so if you think of it for her, and I'm thinking of the father that came in with the four kids in the car, knowing that there was no place for him, but was there any place for his kids?
205000	208000	So are you talking about foster care or what are you talking about?
208000	209000	Yeah.
209000	214000	And he goes, I don't have any information. What's foster care? Can I still be involved? Can I go to foster care?
214000	215000	Yeah.
215000	221000	He did all this kind of stuff, but it was more about needed help with housing and he needed help with finance.
221000	225000	So questions would be there. How do I go about applying for social housing?
225000	227000	Okay. Yeah.
227000	231000	That's the kind of, the more you get out of this, it'll be the how, the what, the when, the why.
231000	244000	So if we start with how do I access support, say in Galway City, what kind of responses would you expect?
244000	253000	Are you giving your gender in that? Are you just being very specific, just what's available?
253000	264000	So one thing that we can do is think of it as a conversation between the app and the person.
264000	272000	And so if there's certain questions to ask the person in generating a response, then that's something that we can take into account as well.
272000	273000	Yeah.
273000	278000	So if I was sitting in front of you saying I'm in domestic violence, what can you do for me?
278000	284000	So the very first thing we'll be talking about is, is it just harm or is it children?
284000	285000	Yeah.
285000	291000	Then we're talking about, are you willing to leave today? If you're willing to leave, we can take you from here and bring you to a place of safety.
291000	294000	Safety would need to be mentioned in this a lot.
294000	295000	Right.
295000	298000	Safety, the word safety, because that's what we're trying to push out there.
298000	299000	Okay.
299000	307000	So then what happens, it'll be kind of, so they're moved out, they're brought to Mowela, beside Galway, you'd want that to be mentioned.
307000	313000	Then when they're assigned what services are available to the children there and what services are available in the community.
313000	314000	Okay.
314000	318000	So there'll be a lot of stuff around that for the children.
318000	319000	Okay.
320000	327000	Then you go back to, if you remember the LGBTQI+, it keeps changing.
327000	332000	Is it LGBTQI+, or is it LGBTQ?
332000	334000	It keeps changing.
334000	335000	Yeah.
335000	336000	Yeah.
336000	343000	But the members of the LGBT, what kind of supports are available for them? So you have a shout and you have a mock.
343000	345000	That's what they'd want to get from this.
345000	353000	So they're specifically designed to support people that are going through domestic violence within that cohort of people as well.
353000	354000	Yeah.
356000	357000	I'm rambling here, am I?
357000	363000	No, no, no. I'm just trying to think of it as kind of an interaction in the app.
364000	373000	If somebody just types in the question, how do I access support in Galway City?
373000	381000	Is there any point in giving them some answer to that at that point, or do you need follow-up questions?
381000	385000	You need follow-up questions because you don't know what kind of support they're looking for.
385000	388000	Yeah, so you'd need them to tell you their gender.
388000	389000	Yeah.
390000	394000	Well, it would be nice because, like, Moella don't take males.
394000	395000	Yeah.
395000	397000	So they would need to know their gender.
397000	398000	Yeah.
398000	400000	But that wouldn't be straight away.
400000	404000	Well, it would have to be, because if you're a man, you're looking up to see a refuge center.
404000	405000	Yeah, yeah.
405000	407000	He might show up to...
